archivo,filas_totales,palabras_corpus_prompts,palabras_corpus_descripciones,top_palabras,top_prompts_con_freq,top_desc_con_freq,vocabulario_total_size,jaccard_similarity,cosine_similarity,palabras_en_ambos_corpus,palabras_comunes,cobertura_prompts_en_desc,cobertura_desc_en_prompts,prompts_encontradas_en_desc,desc_encontradas_en_prompts,total_unigrams_prompts,total_unigrams_desc
ACAPULCO_clean.csv,500,15566,8094,10,comida(153) | puesta(124) | piscina(113) | drones(91) | mesa(87) | noche(84) | jungla(80) | acantilado(79) | bote(75) | rio(74),play(63) | cuesta(54) | dias(49) | pie(49) | playa(48) | 60(46) | an(46) | nos(46) | destino(45) | smas(45),20,0.3,0.078459,6,puesta | noche | acantilado | bote | rio | pie,0.5,0.1,5,1,1000,1000
ACAPULCO_clean.csv,500,15566,8094,20,comida(153) | puesta(124) | piscina(113) | drones(91) | mesa(87) | noche(84) | jungla(80) | acantilado(79) | bote(75) | rio(74) | colores(73) | plato(69) | verde(69) | costa(64) | cielo(61) | alimentos(60) | escena(55) | lago(53) | color(52) | mujer(52),play(63) | cuesta(54) | dias(49) | pie(49) | playa(48) | 60(46) | an(46) | nos(46) | destino(45) | smas(45) | desde(44) | su(44) | sus(43) | cera(42) | rena(42) | ven(41) | mundial(40) | visita(40) | salgadopineda(38) | bellezas(37),40,0.35,0.078108,14,puesta | noche | acantilado | bote | rio | colores | verde | costa | cielo | color | mujer | pie | su | mundial,0.55,0.15,11,3,1000,1000
ACAPULCO_clean.csv,500,15566,8094,30,comida(153) | puesta(124) | piscina(113) | drones(91) | mesa(87) | noche(84) | jungla(80) | acantilado(79) | bote(75) | rio(74) | colores(73) | plato(69) | verde(69) | costa(64) | cielo(61) | alimentos(60) | escena(55) | lago(53) | color(52) | mujer(52) | azules(51) | bajo(49) | beach(49) | grupo(49) | hombre(49) | vegetacion(48) | escenario(47) | colorido(46) | luces(46) | puerto(46),play(63) | cuesta(54) | dias(49) | pie(49) | playa(48) | 60(46) | an(46) | nos(46) | destino(45) | smas(45) | desde(44) | su(44) | sus(43) | cera(42) | rena(42) | ven(41) | mundial(40) | visita(40) | salgadopineda(38) | bellezas(37) | esta(37) | adic(36) | ional(36) | laguna(36) | tr(36) | como(35) | invitan(34) | donde(33) | wbc(33) | dia(32),60,0.383333,0.096402,23,puesta | noche | acantilado | bote | rio | colores | verde | costa | cielo | color | mujer | bajo | beach | grupo | vegetacion | escenario | pie | su | mundial | laguna | como | donde | dia,0.5333,0.2333,16,7,1000,1000
ACAPULCO_clean.csv,500,15566,8094,40,comida(153) | puesta(124) | piscina(113) | drones(91) | mesa(87) | noche(84) | jungla(80) | acantilado(79) | bote(75) | rio(74) | colores(73) | plato(69) | verde(69) | costa(64) | cielo(61) | alimentos(60) | escena(55) | lago(53) | color(52) | mujer(52) | azules(51) | bajo(49) | beach(49) | grupo(49) | hombre(49) | vegetacion(48) | escenario(47) | colorido(46) | luces(46) | puerto(46) | pie(45) | disparo(44) | costera(43) | gran(42) | sunset(42) | muestra(41) | pajaro(39) | favela(38) | paraiso(38) | aguas(37),play(63) | cuesta(54) | dias(49) | pie(49) | playa(48) | 60(46) | an(46) | nos(46) | destino(45) | smas(45) | desde(44) | su(44) | sus(43) | cera(42) | rena(42) | ven(41) | mundial(40) | visita(40) | salgadopineda(38) | bellezas(37) | esta(37) | adic(36) | ional(36) | laguna(36) | tr(36) | como(35) | invitan(34) | donde(33) | wbc(33) | dia(32) | naturaleza(32) | mar(31) | convencion(30) | lugar(30) | playas(30) | guerrero(29) | ideal(29) | boxeo(28) | lo(28) | santa(28),79,0.43038,0.119679,34,puesta | noche | acantilado | bote | rio | colores | verde | costa | cielo | color | mujer | bajo | beach | grupo | vegetacion | escenario | pie | gran | sunset | paraiso | aguas | su | mundial | laguna | como | donde | dia | naturaleza | convencion | lugar | playas | guerrero | boxeo | santa,0.525,0.35,21,14,1000,1000
ACAPULCO_clean.csv,500,15566,8094,50,comida(153) | puesta(124) | piscina(113) | drones(91) | mesa(87) | noche(84) | jungla(80) | acantilado(79) | bote(75) | rio(74) | colores(73) | plato(69) | verde(69) | costa(64) | cielo(61) | alimentos(60) | escena(55) | lago(53) | color(52) | mujer(52) | azules(51) | bajo(49) | beach(49) | grupo(49) | hombre(49) | vegetacion(48) | escenario(47) | colorido(46) | luces(46) | puerto(46) | pie(45) | disparo(44) | costera(43) | gran(42) | sunset(42) | muestra(41) | pajaro(39) | favela(38) | paraiso(38) | aguas(37) | arte(37) | naranja(36) | dron(35) | imagen(35) | madera(35) | nocturna(35) | tazon(35) | ambiente(34) | como(34) | desayuno(34),play(63) | cuesta(54) | dias(49) | pie(49) | playa(48) | 60(46) | an(46) | nos(46) | destino(45) | smas(45) | desde(44) | su(44) | sus(43) | cera(42) | rena(42) | ven(41) | mundial(40) | visita(40) | salgadopineda(38) | bellezas(37) | esta(37) | adic(36) | ional(36) | laguna(36) | tr(36) | como(35) | invitan(34) | donde(33) | wbc(33) | dia(32) | naturaleza(32) | mar(31) | convencion(30) | lugar(30) | playas(30) | guerrero(29) | ideal(29) | boxeo(28) | lo(28) | santa(28) | clima(27) | gastronomia(27) | gran(27) | colaboradores(26) | ante(25) | buenos(25) | consejo(25) | internacional(25) | quebrada(25) | dela(24),97,0.42268,0.120034,41,puesta | noche | acantilado | bote | rio | colores | verde | costa | cielo | color | mujer | bajo | beach | grupo | vegetacion | escenario | pie | gran | sunset | paraiso | aguas | imagen | nocturna | ambiente | como | desayuno | su | mundial | laguna | donde | dia | naturaleza | convencion | lugar | playas | guerrero | boxeo | santa | clima | gastronomia | internacional,0.52,0.36,26,18,1000,1000
CANCUN_clean.csv,144,4872,4511,10,ruinas(33) | piscina(32) | viento(30) | neon(29) | iluminacion(28) | drones(27) | colores(25) | ganador(25) | traje(24) | negro(23),play(21) | aqui(19) | dia(19) | isla(19) | mundo(17) | playa(17) | nos(16) | tiene(16) | turquesa(16) | ya(16),20,0.55,0.247607,11,ruinas | piscina | viento | neon | colores | traje | dia | isla | mundo | tiene | turquesa,0.6,0.5,6,5,1000,1000
CANCUN_clean.csv,144,4872,4511,20,ruinas(33) | piscina(32) | viento(30) | neon(29) | iluminacion(28) | drones(27) | colores(25) | ganador(25) | traje(24) | negro(23) | ciudad(22) | templo(22) | bano(21) | madera(21) | beach(19) | bikini(19) | al(18) | arena(18) | vista(18) | blanco(17),play(21) | aqui(19) | dia(19) | isla(19) | mundo(17) | playa(17) | nos(16) | tiene(16) | turquesa(16) | ya(16) | aventura(15) | destino(15) | dias(15) | tambien(15) | wind(15) | 2023(14) | azul(14) | desde(14) | disfrutar(14) | diversion(14),40,0.5,0.241734,20,ruinas | piscina | viento | neon | colores | traje | bano | beach | arena | vista | dia | isla | mundo | tiene | turquesa | aventura | dias | wind | 2023 | desde,0.5,0.5,10,10,1000,1000
CANCUN_clean.csv,144,4872,4511,30,ruinas(33) | piscina(32) | viento(30) | neon(29) | iluminacion(28) | drones(27) | colores(25) | ganador(25) | traje(24) | negro(23) | ciudad(22) | templo(22) | bano(21) | madera(21) | beach(19) | bikini(19) | al(18) | arena(18) | vista(18) | blanco(17) | maya(17) | premio(17) | cueva(16) | esta(16) | vestido(16) | club(15) | color(15) | jungla(15) | revista(15) | sol(15),play(21) | aqui(19) | dia(19) | isla(19) | mundo(17) | playa(17) | nos(16) | tiene(16) | turquesa(16) | ya(16) | aventura(15) | destino(15) | dias(15) | tambien(15) | wind(15) | 2023(14) | azul(14) | desde(14) | disfrutar(14) | diversion(14) | lugar(14) | perfecto(14) | son(14) | arte(13) | cuando(13) | donde(13) | iso(13) | mejores(13) | sol(13) | tropical(13),59,0.542373,0.262168,32,ruinas | piscina | viento | neon | colores | traje | bano | beach | arena | vista | maya | premio | color | jungla | sol | dia | isla | mundo | tiene | turquesa | aventura | dias | wind | 2023 | desde | lugar | perfecto | son | arte | cuando | iso | mejores,0.5,0.6,15,18,1000,1000
CANCUN_clean.csv,144,4872,4511,40,ruinas(33) | piscina(32) | viento(30) | neon(29) | iluminacion(28) | drones(27) | colores(25) | ganador(25) | traje(24) | negro(23) | ciudad(22) | templo(22) | bano(21) | madera(21) | beach(19) | bikini(19) | al(18) | arena(18) | vista(18) | blanco(17) | maya(17) | premio(17) | cueva(16) | esta(16) | vestido(16) | club(15) | color(15) | jungla(15) | revista(15) | sol(15) | grupo(14) | isla(14) | nina(14) | piedra(14) | sunset(14) | vacaciones(14) | bote(13) | columnas(13) | gran(13) | luces(13),play(21) | aqui(19) | dia(19) | isla(19) | mundo(17) | playa(17) | nos(16) | tiene(16) | turquesa(16) | ya(16) | aventura(15) | destino(15) | dias(15) | tambien(15) | wind(15) | 2023(14) | azul(14) | desde(14) | disfrutar(14) | diversion(14) | lugar(14) | perfecto(14) | son(14) | arte(13) | cuando(13) | donde(13) | iso(13) | mejores(13) | sol(13) | tropical(13) | ano(12) | entre(12) | familia(12) | fest(12) | hasta(12) | mayan(12) | mujeres(12) | reels(12) | vida(12) | agua(11),78,0.538462,0.259256,42,ruinas | piscina | viento | neon | colores | traje | bano | beach | arena | vista | maya | premio | color | jungla | sol | isla | sunset | vacaciones | gran | luces | dia | mundo | tiene | turquesa | aventura | dias | wind | 2023 | desde | lugar | perfecto | son | arte | cuando | iso | mejores | entre | familia | hasta | mayan | mujeres | vida,0.5,0.6,20,24,1000,1000
CANCUN_clean.csv,144,4872,4511,50,ruinas(33) | piscina(32) | viento(30) | neon(29) | iluminacion(28) | drones(27) | colores(25) | ganador(25) | traje(24) | negro(23) | ciudad(22) | templo(22) | bano(21) | madera(21) | beach(19) | bikini(19) | al(18) | arena(18) | vista(18) | blanco(17) | maya(17) | premio(17) | cueva(16) | esta(16) | vestido(16) | club(15) | color(15) | jungla(15) | revista(15) | sol(15) | grupo(14) | isla(14) | nina(14) | piedra(14) | sunset(14) | vacaciones(14) | bote(13) | columnas(13) | gran(13) | luces(13) | mar(13) | dia(12) | dos(12) | futbol(12) | grande(12) | mujeres(12) | personas(12) | ruins(12) | ancient(11) | antiguas(11),play(21) | aqui(19) | dia(19) | isla(19) | mundo(17) | playa(17) | nos(16) | tiene(16) | turquesa(16) | ya(16) | aventura(15) | destino(15) | dias(15) | tambien(15) | wind(15) | 2023(14) | azul(14) | desde(14) | disfrutar(14) | diversion(14) | lugar(14) | perfecto(14) | son(14) | arte(13) | cuando(13) | donde(13) | iso(13) | mejores(13) | sol(13) | tropical(13) | ano(12) | entre(12) | familia(12) | fest(12) | hasta(12) | mayan(12) | mujeres(12) | reels(12) | vida(12) | agua(11) | aguas(11) | era(11) | in(11) | mejor(11) | mientras(11) | muy(11) | natural(11) | nueva(11) | puerto(11) | to(11),96,0.552083,0.261071,53,ruinas | piscina | viento | neon | colores | traje | bano | beach | arena | vista | maya | premio | color | jungla | sol | isla | sunset | vacaciones | gran | luces | dia | dos | futbol | mujeres | personas | mundo | tiene | turquesa | aventura | dias | wind | 2023 | desde | lugar | perfecto | son | arte | cuando | iso | mejores | entre | familia | hasta | mayan | vida | aguas | era | mejor | mientras | muy | natural | nueva | puerto,0.5,0.64,25,32,1000,1000
